OKR;Key Result;Objetivo;Valor Inicial;Meta;Semana 1 (13/04);Semana 2 (20/04);Semana 3 (27/04);Semana 4 (04/05);Semana 5 (11/05);Semana 6 (18/05);Semana 7 (25/05);Semana 8 (01/06);Semana 9 (08/06);Semana 10 (15/06);Semana 11 (22/06);Semana 12 (29/06);Semana 13 (06/07)
Aumentar a Receita do Marketplace;Taxa de conversão de visitantes para compradores;Aumentar a receita total do marketplace através da melhoria da conversão e aumento do ticket médio;2,5%;3,5%;;;;;;;;;;;;;;
Aumentar a Receita do Marketplace;Ticket médio por pedido;Aumentar a receita total do marketplace através da melhoria da conversão e aumento do ticket médio;R$120;R$150;;;;;;;;;;;;;;
Aumentar a Receita do Marketplace;Taxa de abandono de carrinho;Aumentar a receita total do marketplace através da melhoria da conversão e aumento do ticket médio;68%;55%;;;;;;;;;;;;;;
Aumentar a Receita do Marketplace;Participação de produtos com upsell/cross-sell;Aumentar a receita total do marketplace através da melhoria da conversão e aumento do ticket médio;15%;30%;;;;;;;;;;;;;;
Melhorar a Qualidade do Produto;Bugs críticos reportados por semana;Elevar a qualidade percebida do marketplace, reduzindo fricções e aumentando a confiança do usuário;25;10;;;;;;;;;;;;;;
Melhorar a Qualidade do Produto;NPS;Elevar a qualidade percebida do marketplace, reduzindo fricções e aumentando a confiança do usuário;58;70;;;;;;;;;;;;;;
Melhorar a Qualidade do Produto;Tempo médio de carregamento das páginas;Elevar a qualidade percebida do marketplace, reduzindo fricções e aumentando a confiança do usuário;4,5s;2,5s;;;;;;;;;;;;;;
Melhorar a Qualidade do Produto;Taxa de reclamações (suporte por pedido);Elevar a qualidade percebida do marketplace, reduzindo fricções e aumentando a confiança do usuário;12%;7%;;;;;;;;;;;;;;
Aumentar a Recorrência de Usuários;Taxa de recompra em 30 dias;Aumentar a frequência de compra e retenção de usuários ativos;22%;35%;;;;;;;;;;;;;;
Aumentar a Recorrência de Usuários;Número médio de pedidos por usuário ativo;Aumentar a frequência de compra e retenção de usuários ativos;1,4;2,0;;;;;;;;;;;;;;
Aumentar a Recorrência de Usuários;Crescimento de MAU recorrentes;Aumentar a frequência de compra e retenção de usuários ativos;Base atual;+40%;;;;;;;;;;;;;;
Aumentar a Recorrência de Usuários;Taxa de ativação (primeira compra em até 7 dias);Aumentar a frequência de compra e retenção de usuários ativos;45%;60%;;;;;;;;;;;;;;
